name,length,unit,speed_per_year,category,lengthening,moral_weight,note
Human lengths per high-school education,4.0,life-norm-spans,1.0,human-nature,1,0.9,"ASSUMED: how many life-norm spans go into finishing HS"
Life norms per college education,8.0,lifetime-radius-passes,2.0,human-nature,1,0.9,"ASSUMED: lifetime-radius study passes per degree"
2x4s per family-man-year at Home Depot,120.0,boards,120.0,construction,1,0.7,"ASSUMED: lengthening (building/growing) not substituting"
Dates per pretty girl in a small town,15.0,dates,5.0,human-nature,1,0.6,"ASSUMED: continuation/procreation signal"
Books read per literate adult-year,12.0,books,12.0,human-nature,1,0.6,"ASSUMED: habitual knowledge lengthening"
Nails per finished house,20000.0,nails,20000.0,construction,1,0.5,"ASSUMED: construction extent laid down"
Job changes per working lifetime,7.0,jobs,0.17,human-nature,0,0.4,"ASSUMED: substitution rather than lengthening"
Home renovations per homeowner-decade,3.0,projects,0.3,construction,1,0.5,"ASSUMED: adds durable extent"
Skills mastered per apprenticeship,5.0,skills,1.25,human-nature,1,0.8,"ASSUMED: habituated craft lengthening"
Tools replaced per tradesman-year,4.0,tools,4.0,construction,0,0.3,"ASSUMED: substitution/churn"
Children raised per family,2.1,children,0.1,human-nature,1,1.0,"ASSUMED: base-reality continuation (replacement level)"
Foundations poured per contractor-year,10.0,foundations,10.0,construction,1,0.6,"ASSUMED: new extent, not swap"
Tests written per feature,6.0,tests,6.0,code-about-code,1,0.8,"ASSUMED: code that adds durable reach (lengthening)"
Rewrites per module per year,3.0,rewrites,3.0,code-about-code,0,0.4,"ASSUMED: substitution/churn without added reach"
